,Singleton,,,,Transient,,,,Singleton - Loaded,,,,Transient - Loaded,,,
,10k - 1st,10k - 3rd,100k - 1st,100k - 3rd,10k - 1st,10k - 3rd,100k - 1st,100k - 3rd,10k - 1st,10k - 3rd,100k - 1st,100k - 3rd,10k - 1st,10k - 3rd,100k - 1st,100k - 3rd
Autofac,15,14,688,635,64,64,710,634,25,23,166,163,73,74,806,645
CastleWindsor,22,23,807,790,80,80,845,797,35,39,342,328,99,98,1164,941
Ninject,123,121,2616,2558,255,253,2575,2678,128,133,1053,1040,248,247,2683,2338
Spring.Net,17,16,1982,1935,189,185,1856,1874,59,36,223,229,230,226,2346,2157
StructureMap,21,21,212,205,21,21,202,192,114,118,289,348,118,116,324,312
Unity,93,98,992,996,109,99,1008,956,6012,5945,62278,59292,6077,5918,60142,58971
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,